من
في
ما
على
لا
يا
قد
عن
إذا
ولا
لم
به
إلى
له
أن
إن
أو
وما
بها
كان
الله
فيه
لي
كلل
منه
وقد
ومن
كل
غير
بعد
لها
بين
لو
وإن
ولم
فما
الذي
فيها
وهو
إذ
هذا
كما
هو
عليه
ليس
وفي
كنت
إلا
فلا
ذا
منها
لك
أنت
يوم
كم
الهوى
حتتى
لنا
الدهر
الناس
حتى
مثل
حين
منك
لما
ذاك
عند
ابن
إللا
اللذي
مع
فوق
أنا
قلبي
لهم
ولو
أم
خير
لقد
بما
ال
يومن
وكم
ترى
عنه
هل
فقد
الورى
ان
قبل
الزمان
إنن
بي
عليك
الأرض
فإن
ذي
فلم
كيف
وهي
أهل
بل
القلب
فيك
حيث
الدنيا
وإذا
سوى
إليه
ولكن
المجد
ثم
أنن
منهم
ألا
بلا
وأنت
يكن
قلت
وليس
قال
فيا
فهو
اللله
إليك
أرى
لمن
ذو
هي
بني
تلك
دون
كأنن
عليي
حسن
ثمم
اليوم
فمن
وهل
عليها
غدا
ويا
بك
الليل
يرى
كانت
بهم
هم
لمما
بدا
إلاا
تحت
التي
الموت
الملك
أين
الحسن
العلم
الدين
عين
العلى
نفسي
فقلت
وكان
الفضل
عنها
القوم
الحياة
لكن
الهدى
بن
متى
لكم
العين
مذ
بنا
ذلك
عندي
فيما
لولا
الشمس
رأيت
العلا
ن
ربب
قلب
عنك
أما
أبا
زال
جاء
يكون
فكم
المعالي
منني
فيهم
الحبب
أتى
النفس
ذات
مصر
الخلق
رأى
القلوب
قل
آل
يد
مضى
البدر
عبد
لدى
اذا
الماء
تكن
دار
مني
نعم
نور
بعض
الأمر
المنى
ولقد
فإذا
الفتى
طول
الأنام
بغير
عيني
بدر
ماء
الصبا
لله
شمس
وكيف
ر
علينا
وجه
رب
البحر
علم
فؤادي
فليس
الإله
لست
قومن
نار
أنني
جرى
أبي
الليالي
والله
إنني
وكلل
شئت
العيش
عنني
المرء
أبدن
وهم
الحرب
بأن
الندى
الشعر
بحر
الى
ليت
الملوك
البلاد
فهل
ملك
الددهر
عليهم
كأن
فينا
السماء
نحو
وعلى
ملكن
ولي
للله
بعده
وان
هذي
ل
عني
الغرام
الفؤاد
الجود
إني
الحب
فضل
زلت
الكرام
وكل
فإنن
ه
اللتي
هذه
ت
حال
قلبن
الوغى
أيي
م
حلل
طال
لاح
العيون
يقول
فتى
ألم
وعن
الأيام
فلو
بيننا
فهي
الحمى
الخير
فت
الحق
أضحى
منكم
ماذا
أقول
أصبحت
الحبيب
الردى
ذكر
الوجود
شعري
علي
أحمد
الا
يزل
إليها
ليل
الحقق
أييها
هوى
الجمال
وكنت
كأننه
صار
قضى
قوم
حسنن
قيل
أيا
الشباب
كأننما
نفس
نحن
الكون
الكريم
فأنت
قالوا
الدجى
فكيف
محمد
فى
نفسه
النوى
سما
بكم
عاد
أيها
وجهه
عهد
الورد
بيت
أننه
عجبن
بكلل
قام
طيب
د
عنده
كللما
المصطفى
الأييام
مما
الرجال
أمم
مننا
شيءن
ب
كأننها
عنهم
أبو
أرض
الصبر
البيض
العدى
قالت
المال
بات
أمر
ولست
السيف
بمن
الدمع
شيء
دونه
ممما
فقال
لديه
لن
بعدما
مات
يبق
الوجد
جميع
العمر
البين
الحمد
مدى
ورد
الثرى
حكم
القول
وهذا
شاء
ليلن
الحمام
علا
غدت
مرر
أني
النار
الززمان
بدت
تراه
المكارم
بالله
كذا
الخطوب
النفوس
يدن
مثله
سرى
بان
ففي
الخيل
القنا
الحيا
بكل
الشوق
قلبه
أي
دين
لئن
يدي
راح
وقال
هناك
أنه
النناس
علمن
نفسن
العلياء
خلق
ك
نال
المنايا
النجوم
الصبح
سواه
وذا
إليي
باب
الإسلام
كلما
رمت
فكان
فضلن
الحيي
كريم
عزز
أولى
بدرن
الأسى
الكرى
وله
يك
منا
الأمور
وبين
وأن
غداة
عسى
الدار
مجدن
روحي
صاح
حمى
ظلل
رام
غاب
هيهات
رسول
الظلام
العرب
الرحمن
سر
كن
كي
ونحن
أمرن
أحسن
عينن
دم
زاد
عيون
وإنني
أمسى
أكرم
ثوب
وقل
فيكم
ليلى
البيت
طاب
دمعي
روح
فقل
سواك
النبي
وأنا
ليلة
وذاك
القدر
شوقن
الوصل
الصصبا
ذوي
يجري
علمت
تجري
و
غصن
بنو
تقول
السلام
الطرف
الروض
النسيم
فعل
الحشا
عقد
الروح
مولاي
الصباح
العهد
الأعداء
غيره
قول
مهما
أصبح
سبيل
سعد
العدا
دعا
خيرن
ولولا
تزل
دام
الريح
الجميل
الغيث
البرق
الغنى
حبب
مثلي
روض
دونها
سقى
قدر
الزهر
العقل
العزز
عنا
أيدي
وإنن
سلام
نارن
حوى
العدل
أعلى
سار
الكمال
مال
صاحب
الخطب
سيف
تكون
معنى
فهم
سرر
النور
فإنني
بينهم
كأنما
الغمام
هواك
جمع
الأماني
الهمم
بنت
كفف
بحرن
السما
